Time(s),NodeID,Role,RemainingEnergy(J)
40,45,SENSOR,9999.4
40,46,SENSOR,9999.4
40,47,SENSOR,9999.4
40,48,SENSOR,9999.4
40,49,SENSOR,9999.4
40,50,SENSOR,9999.4
40,51,SENSOR,9999.4
40,52,SENSOR,9999.4
40,53,SENSOR,9999.4
40,54,SENSOR,9999.4
40,55,SENSOR,9999.4
40,56,SENSOR,9999.4
40,57,SENSOR,9999.4
40,58,SENSOR,9999.4
40,59,SENSOR,9999.4
40,60,SENSOR,9999.4
40,61,SENSOR,9999.4
40,62,SENSOR,9999.4
40,63,SENSOR,9999.4
40,64,SENSOR,9999.4
40,65,SENSOR,9999.4
40,66,SENSOR,9999.4
40,67,SENSOR,9999.4
40,68,SENSOR,9999.4
40,69,SENSOR,9999.4
40,70,SENSOR,9999.4
40,71,SENSOR,9999.4
40,72,SENSOR,9999.4
40,73,SENSOR,9999.4
40,74,SENSOR,9999.4
40,75,SENSOR,9999.4
40,76,SENSOR,9999.4
40,77,SENSOR,9999.4
40,78,SENSOR,9999.4
40,79,SENSOR,9999.4
40,80,SENSOR,9999.4
40,81,SENSOR,9999.4
40,82,SENSOR,9999.4
40,83,SENSOR,9999.4
40,84,SENSOR,9999.4
40,85,SENSOR,9999.4
40,86,SENSOR,9999.4
40,87,SENSOR,9999.4
40,88,SENSOR,9999.4
40,89,SENSOR,9999.4
40,90,SENSOR,9999.4
40,91,SENSOR,9999.4
40,92,SENSOR,9999.4
40,93,SENSOR,9999.4
40,94,SENSOR,9999.4
40,95,SENSOR,9999.4
40,96,SENSOR,9999.4
40,97,SENSOR,9999.4
40,98,SENSOR,9999.4
40,99,SENSOR,9999.4
40,100,CH,9997.38
40,101,CH,9997.38
40,102,CH,9997.38
40,103,CH,9997.38
40,104,CH,9997.38
40,105,CH,9997.38
40,106,CH,9997.38
40,107,CH,9997.38
40,108,CH,9997.38
40,109,CH,9997.38
45,0,SENSOR,9999.34
45,1,SENSOR,9999.34
45,2,SENSOR,9999.34
45,3,SENSOR,9999.34
45,4,SENSOR,9999.34
45,5,SENSOR,9999.34
45,6,SENSOR,9999.34
45,7,SENSOR,9999.34
45,8,SENSOR,9999.34
45,9,SENSOR,9999.34
45,10,SENSOR,9999.34
45,11,SENSOR,9999.34
45,12,SENSOR,9999.34
45,13,SENSOR,9999.34
45,14,SENSOR,9999.34
45,15,SENSOR,9999.34
45,16,SENSOR,9999.34
45,17,SENSOR,9999.34
45,18,SENSOR,9999.34
45,19,SENSOR,9999.34
45,20,SENSOR,9999.34
45,21,SENSOR,9999.34
